;;User specific;;;;;;;;;;;;;Production;;;Time Resources;;;;;;;Machine Learning Algorithm;;;;;;;;;;;;;;;;;Machine Learning Task;;;;;;;;;;;;;;;;Model-free, Full evaluation;;;;;Model-based, Full evaluation;;;;;;Model-free, Multi-fidelity;;;Model-based, Multi-fidelity;;;;total n of HPO techniques analyzed;;;;;;;;;
Rule ID;thetas;UR: quality demands;1;User's programming ability;1;UR: need for model transparency;1;UR: Availability of a well documented library;1;UR: Computer operating system;1;Hardware: Number of workers/kernels for parallel computing;1;;Production application area;1;;Number of maximum function evaluations/ trials budget;1;Running time per trial [s];1;Total Computing Time [s];1;;Machine Learning Algorithm;1;Obtainability of good approximate;1;Supports parallel evaluations;1;Dimensionality of HPs;1;Conditional HP space;1;HP datatypes;1;Availability of a warm-start HP configuration;1;Obtainability of gradients;1;;Input Data;1;#Instances training dataset;1;Ratio training to test dataset;1;Noise in dataset;1;Training Technique;1;ML task;1;Detailed ML task;1;Rule ID;Default Values;Random Search;Grid Search;CMA-ES;PBT;HOAG;SMAC;TPE;GPBO;MTBO;BOHAMIANN;DNGO;SHA;HB;ASHA;FABOLAS;BOHB;HB-LCNet;;18;;;;;;;;;
;;0,0417;24;0,0313;32;0,0714;14;0,0714;14;0,1429;7;0,0082;122;;0,0175;57;;0,0145;69;0,0286;35;0,0063;159;;0,0085;117;0,0270;37;0,0270;37;0,0078;129;0,0085;117;0,0077;130;1,0000;1;0,1667;6;;;105;0,0114;88;0,0120;83;0,0500;20;0,0083;121;0,0086;116;0,0108;93;;28,89;16,73;10,14;15,08;12,02;3,21;30,52;22,09;24,40;3,66;10,77;4,63;11,57;23,21;10,88;6,49;29,33;5,37;;;;;;;;;;;
229;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Online;0,00826;;;;;229;0,20000;;;;;;;;;;;;0,20000;0,20000;0,20000;;0,20000;;;;;;;;;;;;
230;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Online;0,00826;;;;;230;0,20000;;;;;;;;;;;;0,20000;0,20000;0,20000;;0,20000;;;;;;;;;;;;
231;1;medium;0,04167;medium;0,03125;;;;;;;1;0,00820;;;;;;;;;1.0:86400;0,00629;;Convolutional Neural Net;0,00855;no;0,02703;;;;;;;;;;;;;;Image Data;0,00952;>50000;0,01136;;;yes;0,05000;;;Multiclass Classification;0,00862;Image Recognition;0,01075;231;0,50000;0,25000;0,25000;;;;;;;;;;;;;;;;;;KEL new rules;;Andres Posada;;;;;;
232;1;high;0,04167;high;0,03125;;;;;Linux;0,14286;>1;0,00820;;;;;;;;;>1296000;0,00629;;Convolutional Neural Net;0,00855;no;0,02703;;;;;;;;;;;;;;Image Data;0,00952;>100000;0,01136;;;yes;0,05000;;;Object Detection;0,00862;Object Detection;0,01075;232;0,20000;;0,40000;0,40000;;;;;;;;;;;;;;;;;;;;;;;;;
233;1;high;0,04167;low;0,03125;;;;;;;>1;0,00820;;;;;;;;;>1296000;0,00629;;Convolutional Neural Net;0,00855;no;0,02703;;;;;;;;;;;;;;Image Data;0,00952;;;;;yes;0,05000;;;Multiclass Classification;0,00862;Image Recognition;0,01075;233;0,20000;;;0,10000;0,10000;;;;;;;;;;0,40000;;0,20000;;;;;;;;;;;;
234;1;high;0,04167;medium;0,03125;no;0,07143;yes;0,07143;Windows;0,14286;1;0,00820;;Process Parameter Prediction;0,01754;;;;>200;0,02857;>172800;0,00629;;LSTM;0,00855;no;0,02703;;;;;;;[continuous, discrete, ordinal, nominal];0,00769;;;;;;Tabular Data ;0,00952;>1000000;0,01136;1.0:4;0,01205;yes;0,05000;Offline;0,00826;Regression;0,00862;Time Series Prediction;0,01075;234;0,12500;0,12500;;;;;0,12500;0,12500;0,12500;;;;0,12500;0,12500;;;0,12500;;;;;;Maik Frye;;;;;;
235;1;medium;0,04167;medium;0,03125;no;0,07143;yes;0,07143;Windows;0,14286;1;0,00820;;Predictive Quality;0,01754;;;;;;7200.0:172800;0,00629;;Random Forest;0,00855;yes;0,02703;yes;0,02703;;;;;[continuous, discrete, ordinal, nominal];0,00769;;;;;;Tabular Data ;0,00952;1000.0:10000;0,01136;1.0:4;0,01205;no;0,05000;Offline;0,00826;Binary Classification;0,00862;Time Series Prediction;0,01075;235;0,20000;;;;;;0,20000;;0,20000;;;;;0,20000;;;0,20000;;;;;;;;;;;;
236;1;medium;0,04167;medium;0,03125;no;0,07143;yes;0,07143;Windows;0,14286;1;0,00820;;Predictive Maintenance;0,01754;;;;;;>172800;0,00629;;Random Forest;0,00855;no;0,02703;yes;0,02703;;;;;[continuous, discrete, ordinal, nominal];0,00769;;;;;;Tabular Data ;0,00952;>1000000;0,01136;1.0:4;0,01205;yes;0,05000;Offline;0,00826;Multiclass Classification;0,00862;;;236;0,14286;;;;;;0,14286;0,14286;0,14286;;;;0,14286;0,14286;;;0,14286;;;;;;;;;;;;
237;1;high;0,04167;medium;0,03125;no;0,07143;yes;0,07143;Linux;0,14286;>1;0,00820;;Predictive Quality;0,01754;;;;;;7200.0:172800;0,00629;;XGBoost;0,00855;no;0,02703;;;;;;;[continuous, discrete, ordinal, nominal];0,00769;;;;;;Tabular Data ;0,00952;>1000000;0,01136;>4;0,01205;yes;0,05000;Offline;0,00826;Multiclass Classification;0,00862;;;237;0,25000;;;;;;;;0,25000;;;;;0,25000;;;0,25000;;;;;;;;;;;;
238;1;high;0,04167;medium;0,03125;no;0,07143;no;0,07143;Windows;0,14286;1;0,00820;;Process Design;0,01754;;;;>200;0,02857;7200.0:172800;0,00629;;Random Forest;0,00855;yes;0,02703;yes;0,02703;;;;;[continuous, discrete, ordinal, nominal];0,00769;;;;;;Tabular Data ;0,00952;1000.0:10000;0,01136;1.0:4;0,01205;yes;0,05000;Offline;0,00826;Binary Classification;0,00862;;;238;0,33333;0,33333;;;;;;;0,33333;;;;;;;;;;;;;;;;;;;;
239;1;high;0,04167;high;0,03125;no;0,07143;yes;0,07143;Linux;0,14286;>1;0,00820;;Process Parameter Prediction;0,01754;;;;>200;0,02857;>172800;0,00629;;Gradient Boosting Machine;0,00855;no;0,02703;;;;;yes;0,00855;[continuous, discrete, ordinal, nominal];0,00769;;;;;;Tabular Data ;0,00952;>1000000;0,01136;1.0:4;0,01205;yes;0,05000;Offline;0,00826;Regression;0,00862;Time Series Prediction;0,01075;239;0,14286;;;;;;0,14286;0,14286;0,14286;;;;0,14286;0,14286;;;0,14286;;;;;;;;;;;;
240;1;;;;;;;;;;;;;;;;;;;;;;;;;;yes;0,02703;;;;;;;;;;;;;;;;>100000;0,01136;1.0:4;0,01205;yes;0,05000;Offline;0,00826;Regression;0,00862;Time Series Prediction;0,01075;240;0,12500;0,12500;;;;;0,12500;0,12500;0,12500;;;;0,12500;0,12500;;;0,12500;;;;;;;;;;;;
241;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;1,00000;;;;;;;;;;;;;;;;;;241;;;;0,14286;;;0,14286;0,14286;0,14286;;0,14286;;;0,14286;;;0,14286;;;;;;Maximilian Mutz;;;;;;
242;1;;;low;0,03125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;242;1,00000;;;;;;;;;;;;;;;;;;;;;;PN;;;;;;
243;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;0,00855;;;;;;;;;;;;;;;;;;;;;;243;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;;;Knock-out Rules;;conditionality;;;;;;
244;1000;;;;;must;0,07143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;244;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;transparency;;;;;;
245;1000;;;;;;;must;0,07143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;245;1;1;1;1;0;0;1;1;1;0;0;0;0;1;0;0;1;0;;;;;well documented library;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
